Address,Location,Name,Cuisine,Flavour,x coordinate,y coordinate
196-208 Russell Street,Melbourne (CBD),King Bo Chinese Restaurant,German,creamy and rich,144.9678632,-37.81158809
475-485 Flinders Lane,Melbourne (CBD),Cafe Rema,German,creamy and rich,144.9581001,-37.81936891
475-485 Flinders Lane,Melbourne (CBD),Cafe Rema,German,creamy and rich,144.9581001,-37.81936891
452-470 Flinders Street,Melbourne (CBD),Caffe Masters,German,creamy and rich,144.9586012,-37.81946849
452-470 Flinders Street,Melbourne (CBD),Caffe Masters,German,creamy and rich,144.9586012,-37.81946849
490 Flinders Street,Melbourne (CBD),Florin Deli,German,creamy and rich,144.9579912,-37.81995155
8-10 King Street,Melbourne (CBD),Monkey Bar,German,creamy and rich,144.9576378,-37.81992762
26-32 King Street,Melbourne (CBD),Mothers Bar & Bistro,German,creamy and rich,144.957466,-37.81952934
68-70 King Street,Melbourne (CBD),Schwobs Swiss,German,creamy and rich,144.9570349,-37.81863721
45 Collins Street,Melbourne (CBD),Cafe Great Space,German,creamy and rich,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Cafe Great Space,German,creamy and rich,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Roozervelts,German,creamy and rich,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Sofitel Hotel,German,creamy and rich,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Vivaldi Restaurant,German,creamy and rich,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Cafe 51,Vietnamese,hot and spicy,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Cafe 51,Vietnamese,hot and spicy,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Sizzling Spuds,Vietnamese,hot and spicy,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Pomegranate Gourmet Food,Vietnamese,hot and spicy,144.9726281,-37.81430616
45 Collins Street,Melbourne (CBD),Kenzan Japanese Restaurant,Vietnamese,hot and spicy,144.9726281,-37.81430616
100-186 La Trobe Street,Melbourne (CBD),Caffeine At Re Vault,Vietnamese,hot and spicy,144.9645504,-37.80818365
535 Little Lonsdale Street,Melbourne (CBD),Flagstaff Cafe,Vietnamese,hot and spicy,144.9560169,-37.8134766
535 Little Lonsdale Street,Melbourne (CBD),Flagstaff Cafe,Vietnamese,hot and spicy,144.9560169,-37.8134766
241-243 Flinders Lane,Melbourne (CBD),Piccolo Cafe/bar,Vietnamese,hot and spicy,144.9663028,-37.81685974
241-243 Flinders Lane,Melbourne (CBD),Piccolo Cafe/bar,Vietnamese,hot and spicy,144.9663028,-37.81685974
280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,Vietnamese,hot and spicy,144.9645574,-37.81567229
359-385 Bourke Street,Melbourne (CBD),Uzuki Sushi Bar & Catering,Vietnamese,hot and spicy,144.9629442,-37.81491502
163-173 Queen Street,Melbourne (CBD),Food Lovers Cafe Deli,Vietnamese,hot and spicy,144.9602243,-37.81467989
8 Whiteman Street,Southbank,Cecconi's,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Cecconi's,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Strega,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Cafe D Oro,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Number 8,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Number 8,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Zampelis Cafe Greco,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Zampelis Cafe Greco,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Waterfront Seafood & Grill,Vietnamese,hot and spicy,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Waterfront Seafood & Grill,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Cervo Cafe Bar,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Cervo Cafe Bar,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Automatic Cafe,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Automatic Cafe,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Lucky Chan's Seafood Restaurant,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,official All Stars Cafe,Vegetarian,mild and fresh,144.9586604,-37.82312164
8 Whiteman Street,Southbank,Crown Casino,Vegetarian,mild and fresh,144.9586604,-37.82312164
392-396 Little Collins Street,Melbourne (CBD),Cafe Downunder,Vegetarian,mild and fresh,144.9615306,-37.81556194
457-469 Little Collins Street,Melbourne (CBD),Terrace Deli,Vegetarian,mild and fresh,144.95955,-37.81660734
457-469 Little Collins Street,Melbourne (CBD),Terrace Deli,Vegetarian,mild and fresh,144.95955,-37.81660734
435-443 Little Collins Street,Melbourne (CBD),The Kitchen Restaurant,Vegetarian,mild and fresh,144.9600859,-37.81638558
435-443 Little Collins Street,Melbourne (CBD),Syracuse,Vegetarian,mild and fresh,144.9600859,-37.81638558
435-443 Little Collins Street,Melbourne (CBD),Syracuse,Vegetarian,mild and fresh,144.9600859,-37.81638558
435-443 Little Collins Street,Melbourne (CBD),Cafe Bove,Vegetarian,mild and fresh,144.9600859,-37.81638558
5-9 Bank Place,Melbourne (CBD),Mitre Tavern,Vegetarian,mild and fresh,144.9603112,-37.81680457
4-10 Bank Place,Melbourne (CBD),La Cantina,Vegetarian,mild and fresh,144.9606423,-37.81669009
12-16 Bank Place,Melbourne (CBD),Melbourne Savage Club,Vegetarian,mild and fresh,144.9605765,-37.81654467
433 Little Collins Street,Melbourne (CBD),Lucias Restorante,Vegetarian,mild and fresh,144.9603413,-37.81631094
